numtechnologie,codelangue,titre,definition,3,4,application,6,7,8,9,10,11,12,13,14,15,16,17,18
31,2,Cogénération,"La cogénération consiste en la production simultanée de chaleur et d'énergie électrique (en anglais CHP, Combined Heat and Power). La chaleur habituellement perdue de certaines installations peut être récupérée pour générer de l'électricité. Selon la quantité de chaleur disponible et les niveaux de chaleur, plusieurs technologies peuvent être appliquées telles que les ORC, les moteurs à combustion interne, les moteurs Stirling, les cycles à vapeur... 
En fonction des seuils de production d'électricité, on définit plusieurs niveaux de cogénération, d'après la directive européenne 2004/8/CE : 

la micro-cogénération (inférieur à 50 kWe),
la mini-cogénération (entre 50 et 250 kWe),
la petite et moyenne cogénération (entre 250 et 1000 kWe),
la cogénération de grande taille commence à partir de 1000 kWe.","Dans l'industrie, de nombreux équipements (chaudières, fours...) et procédés dégagent de la chaleur qui est le plus souvent rejetée à l'environnement. Il est alors possible de la valoriser pour produire de l'électricité.
Pour les secteurs résidentiels et tertiaires, il s'agit d'intégrer une cogénération à la chaudière pour le chauffage des bâtiments ou la production d'eau chaude.En France, la cogénération est surtout portée par les installations de grande puissance destinées à la production d'électricité comme le montre la répartition de 2008 : 

14 % des installations de cogénération avaient une capacité de production électrique inférieure à 2 MW, 
30 % des installations avaient une puissance électrique comprise entre 2 et 10 MW,
56 % des installations avaient une puissance électrique de plus de 10 MW.",#27,"Capacité des installations de cogénération (France, 2008)",,,"Les prix d'investissement dépendent de la puissance électrique de l'unité de cogénération : 

de 0,6 à 1,3 k€/kWe pour les turbines à gaz,
de 0,7 à 1,2 k€/kWe pour les moteurs à combustion interne,
de 1,5 à 2k€ /kWe pour les turbines à vapeur à extraction,
de 3,5 à 8 k€/kWe pour les turbines à vapeur à contre pression (dont les cogénérations biomasse).",,,"Les coûts d'exploitation varient selon la quantité d'électricité produite : 

de 0,005 à 0,04 €/kWh pour les turbines à gaz,
de 0,02 €/kWh pour les moteurs à combustion interne,
de 0,001 €/kWh pour les turbines à vapeur à extraction,
de 0,05 à 0,15 €/kWh pour les turbines à vapeur à contre pression (dont les cogénérations biomasse).",,,,,,,
31,3,Combined Heat and Power,"Cogeneration involves the simultaneous production of heat and power (CHP English, Combined Heat and Power). Heat normally lost of certain facilities can be recovered to generate electricity. Depending on the amount of available heat and heat levels, several technologies can be applied such as ORC, the internal combustion engines, Stirling engines, steam cycles ...
Depending on the threshold of power generation, we define several levels of cogeneration, according to the European Directive 2004/8/EC:


micro-CHP (below 50 kWe)

mini-CHP (between 50 and 250 kWe)

small and medium CHP (between 250 and 1000 kWe)

cogeneration large starting from 1000 kWe.","In industry, many equipment (boilers, furnaces ...) and processes generate heat which is usually rejected to the environment. It is then possible to promote to produce electricity.
For residential and tertiary sectors, it is to integrate a cogeneration boiler for building heating or domestic hot water.In France, cogeneration is mainly driven by large projects for the production of electricity as shown in distribution in 2008:


14% of cogeneration facilities had a capacity of less than 2 MW power generation,

30% of facilities had electric power between 2 and 10 MW,

56% of facilities had a power output of more than 10 MW.",#27,"Capacity of cogeneration (France, 2008)",,,"Investment prices depend on the electric power cogeneration unit:


0.6 to 1.3 k€ / kWe for gas turbines

0.7 to 1.2 k€ / kWe for internal combustion engines,

1.5 to 2 k€ / kWe for extraction steam turbines,

from 3.5 to 8 k€ / kWe for steam turbines against pressure (including biomass cogeneration).",,,"Operating costs vary depending on the amount of electricity generated:


from 0.005 to 0.04 € / kWh for gas turbines

0.02 € / kWh for internal combustion engines,

0.001 € / kWh for the extraction steam turbines,

0.05 to 0.15 € / kWh for steam turbines against pressure (including biomass cogeneration).",,,,,,,
31,4,Cogeneración,"La cogeneración consiste en la  producción simultánea de calor y de energía eléctrica (en inglés CHP, Combined Heat and Power). El calor habitualmente perdido en ciertas instalaciones puede ser recuperado para generar electricidad. Según la cantidad de calor disponible y los niveles de calor, varias tecnologías pueden ser aplicadas tales como las ORC, motores de combustión interna, motores stirling, los ciclos de vapor...
En función de los umbrales de producción de electricidad, se definen varios niveles de cogeneración, después de la directiva europea 2004/8/CE:


la microcogeneración ( inferior a 50 kWe),

la minicogeneración (entre 50 y 250 kWe),

la pequeña y mediana cogeneración (entre 250 y 1000 kWe)

la cogeneración de gran tamaño comienza a partir de 1000 kWe.","En la industria, numerosos equipos (calderas, hornos...) y procesos generan calor que es a menudo expulsado al medio ambiente. Es entonces posible valorizarlo para producir electricidad.
Para los sectores residenciales y terciarios, se trata de integrar una cogeneración a la caldera para la calefacción de los edificios o la producción de calor.
En Francia, la cogeneración se debe principalmente a las instalaciones de gran potencia destinadas a la producción de electricidad como muestra el reparto de 2008:


14% de las instalaciones de cogeneración tienen una capacidad de producción eléctrica inferior a 2MW.

el 30% de las instalaciones tienen una potencia eléctrica comprendida entre 2 y 10 MW.

el 56% de las instalaciones tienen una potencia eléctrica de más de 10MW.",#27,"Capacidad de las instalaciones de cogeneración (Francia, 2008)",,,"Los precios de inversión dependen de la potencia eléctrica de la unidad de cogeneración: 

de 0,6 a 1,3 k€/kWe para turbinas de gas,
de 0,7 a 1,2 k€/kWe para motores de combustión interna,
de 1,5 a 2k€ /kWe para turbinas de vapor a extracción
de 3,5 a 8 k€/kWe para turbinas de vapor a contra presión (cogeneración biomasa).",,,"Los costes de explotación varian según la cantidad de electricida producida:

de 0,005 a 0,04 €/kWh para turbinas de gas,
de 0,02 €/kWh para los motores de combustión interna,
de 0,001 €/kWh para las turbinas de vapor a extracción
de 0,05 a 0,15 €/kWh para turbinas de vapor a contra presión (cogeneración biomasa).",,,,,,,
32,2,Cogénération biomasse,"La technologie concerne l'installation d'une cogénération à partir de biomasse.  Deux parties se distinguent, la production de vapeur par une chaudière associée et la transformation de l'énergie contenue dans la vapeur en énergie mécanique par le moyen d'une turbine.
Les projets de cogénération biomasse utilisent généralement une ressource locale identifiée lors d'une étude d'approvisionnement préalablement réalisée.","La cogénération biomasse est applicable aux grands industriels (papier, bois…), à l'agriculture et aux collectivités. Le combustible peut être classé en trois catégories :

la biomasse dite forestière (plaquettes),
les déchets de bois, provenant des centres de tri ou des industriels,
les résidus d'origine agricole (paille par exemple).",,,,,"Les prix d'investissement dépendent de la puissance électrique de l'unité de cogénération :

pour une unité de 5 MWe, le coût d'investissement est d'environ 4 M€/MWe.
pour une unité plus importante de 10 MWe, le coût d'investissement est d'environ 3 M€/MWe.",,,"Les coûts d'exploitation varient selon la quantité d'électricité produite :

pour une unité de 5 MWe, ils sont d'environ 36 €/MWh.
pour une unité de 10 MWe, 27 €/MWh.",,,,,,,
32,3,Biomass CHP,"Technology for the installation of a cogeneration from biomass. Two parts are distinguished, generating steam by a boiler and associated processing of the energy in the steam into mechanical energy by means of a turbine.
The biomass cogeneration projects generally use a local resource identified in a previously conducted study of supply.
","Biomass cogeneration is applicable to large industrial (paper, wood ...), agriculture and communities. The fuel can be classified into three categories:


forest biomass (platelets)

waste wood from sorting centers or industrial,

residues from agriculture (straw ...).",,,,,"Investment prices depend on the electric power cogeneration unit:


for a unit of 5 MW, the investment cost is about 4 M € / MWh.

for a larger unit of 10 MW, the investment cost is about 3 M € / MWh.",,,"Operating costs vary depending on the quantity of electricity produced:


for a 5 MWe unit, they are about 36 € / MWh.

for a unit of 10 MWe, 27 € / MWh.",,,,,,,
32,4,Cogeneración de biomasa,"La tecnología se refiere a la instalación de cogeneración a partir de biomasa. Se distinguen dos partes, la producción de vapor mediante una caldera asociada y la transformación de la energía contenida en el vapor en energía mecánica mediante una turbina.
Los proyectos de cogeneración biomasa utilizan generalmente un recurso local identificado después de un estudio de abastecimiento realizado previamente.","La cogeneración biomasa es aplicable a los grandes industriales (papel, madera...), a la agricultura y las comunidades. Se pued clasificar el combustible en 3 categorías:

biomasa forestal (plaquetas), 
residuos de madera, provenientes de centros de tri o de las industrias, 
residuos de origen agrícola (paja por ejemplo). ",,,,,"Los precios de inversión dependen de la potencia eléctrica de la unidad de cogeneración:

para una unidad de 5MW, el coste de inversión es aproximadamente 4M€/MWe. 
para una unidad más importante de 10MWe, el coste de la inversión es de aproximadamente 3M€/MWe. ",,,"Los costes de explotación varían según la cantidad de electricidad producida:

para una unidad de 5MWe, lo que representa aproximadamente 36 M€/MWh.
para una unidad de 10MWe, 27 €/MWh.",,,,,,,
33,2,Cogénération grande taille,"La cogénération consiste en la production simultanée de chaleur et d'énergie électrique (en anglais CHP, Combined Heat and Power). La chaleur habituellement perdue de certaines installations peut être récupérée pour générer de l'électricité. La cogénération de grande taille représente les installations de puissance supérieure ou égale à 1 MWe.","Dans l'industrie, de nombreux équipements (chaudières, fours...) et procédés dégagent de la chaleur qui est le plus souvent rejetée à l'environnement. Il est alors possible de la valoriser pour produire de l'électricité.
Pour les secteurs résidentiels et tertiaires, il s'agit d'intégrer une cogénération à la chaudière pour le chauffage des bâtiments ou la production d'eau chaude.En France, la cogénération est surtout portée par les installations de grande puissance destinées à la production d'électricité comme le montre la répartition de 2008 : 

14 % des installations de cogénération avaient une capacité de production électrique inférieure à 2 MW, 
30 % des installations avaient une puissance électrique comprise entre 2 et 10 MW,
56 % des installations avaient une puissance électrique de plus de 10 MW.",#27,"Capacité des installations de cogénération (France, 2008)",,,"Les prix d'investissement dépendent de la puissance électrique de l'unité de cogénération : 

de 0,6 à 1,3 k€/kWe pour les turbines à gaz,
de 0,7 à 1,2 k€/kWe pour les moteurs à combustion interne,
de 1,5 à 2k€ /kWe pour les turbines à vapeur à extraction,
de 3,5 à 8 k€/kWe pour les turbines à vapeur à contre pression (dont les cogénérations biomasse).",,,"Les coûts d'exploitation varient selon la quantité d'électricité produite : 

de 0,005 à 0,04 €/kWh pour les turbines à gaz,
de 0,02 €/kWh pour les moteurs à combustion interne,
de 0,001 €/kWh pour les turbines à vapeur à extraction,
de 0,05 à 0,15 €/kWh pour les turbines à vapeur à contre pression (dont les cogénérations biomasse).",,,,"En 2008 en France, la répartition des installations de cogénération est définie comme indiqué ci-dessous : 

les turbines à gaz sont majoritaires, représentant 56 % du parc installé ;
les moteurs à combustion interne représentent 23 % du parc installé ;
les turbines à vapeur représentent 19 % du parc installé ;
les centrales à cycles combinés représentent 2 % du parc installé ;
les autres systèmes tels que les piles à combustible ou les ORC sont négligeables. ",#28,"Technologies des installations de cogénération (France, 2008)",
33,3,Large CHP,"Cogeneration involves the simultaneous production of heat and power (CHP English, Combined Heat and Power). Heat normally lost of certain facilities can be recovered to generate electricity. Large CHP installations are higher power up to 1 MW.","In industry, many equipment (boilers, furnaces ...) and processes generate heat which is usually rejected to the environment. It is then possible to promote to produce electricity.
For residential and tertiary sectors, it is to integrate a cogeneration boiler for building heating or domestic hot water.In France, cogeneration is mainly driven by large projects for the production of electricity as shown in distribution in 2008:


14% of cogeneration facilities had a capacity of less than 2 MW power generation,

30% of facilities had electric power between 2 and 10 MW,

56% of facilities had a power output of more than 10 MW.",#27,"Capacity of cogeneration (France, 2008)",,,"Investment prices depend on the electric power cogeneration unit:


0.6 to 1.3 k€ / kWe for gas turbines

0.7 to 1.2 k€ / kWe for internal combustion engines,

1.5 to 2 k€ / kWe for extraction steam turbines,

from 3.5 to 8 k€ / kWe for steam turbines against pressure (including biomass cogeneration).",,,"Operating costs vary depending on the amount of electricity generated:


from 0.005 to 0.04 € / kWh for gas turbines

0.02 € / kWh for internal combustion engines,

0.001 € / kWh for the extraction steam turbines,

0.05 to 0.15 € / kWh for steam turbines against pressure (including biomass cogeneration).",,,,"In 2008 in France, the distribution of cogeneration is defined as shown below:


gas turbines are in the majority, representing 56% of the installed base;

the internal combustion engines represent 23% of the installed base;

steam turbines represent 19% of the installed base;

the combined cycle power plants account for 2% of the installed base;

other systems such as fuel cells or OCR are negligible.",#28,"Technologies des installations de cogénération (France, 2008)",
33,4,Cogeneración de gran tamaño,"La cogeneración consiste en la  producción simultánea de calor y de energía eléctrica (en inglés CHP, Combined Heat and Power). El calor habitualmente perdido en ciertas instalaciones puede ser recuperado para generar electricidad. La cogeneración de gran talla representa las instalaciones de potencia superior o igual a 1MWe.","En la industria, numerosos equipos (calderas, hornos...) y procesos generan calor que es a menudo expulsado al medio ambiente. Es entonces posible valorizarlo para producir electricidad.
Para los sectores residenciales y terciarios, se trata de integrar una cogeneración a la caldera para la calefacción de los edificios o la producción de calor.
En Francia, la cogeneración se debe principalmente a las instalaciones de gran potencia destinadas a la producción de electricidad como muestra el reparto de 2008:

14% de las instalaciones de cogeneración tienen una capacidad de producción eléctrica inferior a 2MW. 
el 30% de las instalaciones tienen una potencia eléctrica comprendida entre 2 y 10 MW. 
el 56% de las instalaciones tienen una potencia eléctrica de más de 10MW. ",#27,"Capacité des installations de cogénération (France, 2008)",,,"Los precios de inversión dependen de la potencia eléctrica de la unidad de cogeneración: 

de 0,6 a 1,3 k€/kWe para turbinas de gas,
de 0,7 a 1,2 k€/kWe para motores de combustión interna,
de 1,5 a 2k€ /kWe para turbinas de vapor a extracción
de 3,5 a 8 k€/kWe para turbinas de vapor a contra presión (cogeneración biomasa).",,,"Los costes de explotación varian según la cantidad de electricida producida:

de 0,005 a 0,04 €/kWh para turbinas de gas,
de 0,02 €/kWh para los motores de combustión interna,
de 0,001 €/kWh para las turbinas de vapor a extracción
de 0,05 a 0,15 €/kWh para turbinas de vapor a contra presión (cogeneración biomasa).",,,,"En 2008 en Francia, el reparto de las instalaciones de cogeneración está definido como se indica debajo:

las turbinas de gas son mayoritarias, representan el 56% de un parque instalado,
los motores de combustión interna representan el 23% de un parque instalado,
las turbinas de vapor representan el 19% del parque instalado,
las centrales de ciclos combinados representan el 2% del parque instalado,
los otros sistemas tales como las pilas de combustible o los ORC son despreciables..",#28,"Tecnologías de las instalaciones de cogeneración (France, 2008)",
34,2,Micro/mini-cogénération,"La micro-cogénération regroupe les unités de production simultanée d'électricité et de chaleur ayant une capacité de production électrique inférieure à 50 kWe d'après la directive européenne 2004/8/CE. Pour la mini-cogénération, la production d'électricité est comprise entre 50 et 250 kWe.",La micro/mini-cogénération est plutôt destinée a être appliquée dans le secteur résidentiel ou dans le secteur du petit tertiaire. La chaleur générée est utilisée pour chauffer les bâtiments et/ou produire de l'eau chaude. L'électricité produite peut être utilisée en autoconsommation ou revendue sur le réseau. Des applications dans le secteur des transports commencent à apparaître.,,,,,"Les prix d'investissement varient selon la puissance électrique de l'unité. Il est estimé : 

de 10 à 12 k€/kWe pour les piles à combustible,
de 3 à 10 k€/kWe pour les moteurs à combustion interne,
de 3 à 4 k€/kWe pour les micro-turbines,
environ 5 k€/kWe pour les moteurs Stirling et les cycles ORC.",,,"Les coûts d'exploitation sont donnés en fonction de l'énergie électrique produite. Il sont estimés à : 

0,25 €/kWh pour les piles à combustible,
0,2 €/kWh pour les moteurs à combustion interne,
0,7 €/kWh pour les micro-turbines,
0,2 €/kWh pour les moteurs Stirling et cycles ORC.",,,,"Il existe de nombreuses technologies de cogénération. Les technologies existantes, commercialisées ou en développement, peuvent être classé en deux familles : 

les moteurs à combustion interne où la source de chaleur est située directement à l'intérieur de l'unité,
les unités à source de chaleur externe, nécessitant un apport thermique extérieur.",img/techno/chp/ch3/ch3_comparaison_fr.png,Comparaison des technologies de micro/mini cogénération,
34,3,Micro/mini-CHP,Micro-cogeneration units includes simultaneous production of electricity and heat with a power generation capacity below 50 kWe according to the European Directive 2004/8/EC. For the mini-CHP electricity production is between 50 and 250 kWe.,Micro / mini-cogeneration is rather intended to be applied in the residential sector and in the sector of small businesses. The heat generated is used to heat the buildings and / or produce hot water. The electricity produced can be used in consumption or sold on the network. Applications in the transport sector are beginning to appear.,,,,,"Investment Prices vary the electrical power of the unit. It is estimated:

From 10 to 12 k€ / kWe for fuel cells,
From 3 to 10 k€ / kWe for internal combustion engines,
From 3 to 4 k€ / kWe for micro-turbines,
About 5 k€ / kWe for Stirling engines and ORC cycles.",,,"Operating costs are given in terms of the electrical energy produced. There are estimated to be:

0.25 € / kWh for fuel cells,
0.2 € / kWh for internal combustion engines,
0.7 € / kWh for micro-turbines,
0.2 € / kWh for Stirling engines and ORC cycles.",,,,"There are many cogeneration technologies. Existing technologies, marketed or in development can be classified into two families:

the internal combustion engine where the heat source is located directly inside the unit,
units to an external heat source, requiring external heat input.",img/techno/chp/ch3/ch3_comparaison_en.png,Technologies comparison of micro / mini CHP,
34,4,Micro/mini-cogeneración,"La microcogeneración engloba las unidades de producción simultánea de electricidad y de calor teniendo una capacidad calorífica de producción eléctrica inferior a 50kWe después de la directiva europea 2004/8/CE. Para la minicogeneración, la producción de electricidad está comprendida entre 50 y 250 kWe.",La micro/mini-cogeneración está más bien destinada a ser aplicada en el sector residencial o en el sector terciario pequeño. El calor generado es utilizado para calentar los edificios y/o producir agua caliente. La electricidad producida puede ser utilizada en autoconsumación o vendidas a la red. Aplicaciones en el sector de los transportes están comenzando a aparecer.,,,,,"Los precios de las inversiones varían según la potencia eléctrica de la unidad. Están estimados en:

de 10 a 12 k€/kWe para pilas de combustible,
de 3 a 10 k€/kWe para motores de combustión interna,
de 3 a 4 k€/kWe para microturbinas,
alrededor de 5 k€/kWe para motores Stirling y ciclos de Rankine .",,,"Los costes de explotación están dados en función de la energía eléctrica producida. Están estimados en:

0,25  €/kWh para pilas de combustible, 
0,2  €/kWh para motores de combustión interna, 
0,7  €/kWh para microturbinas, 
0,2  €/kWh para motores Stirling y ciclos Rankine. ",,,,"Existen numerosas tecnologías de cogeneración. Las tecnologías existentes,comercializadas o en desarrollo, pueden clasificarse en dos familias:

los motores de combustión interna donde la fuente de calor está situada directamente en el interior de la unidad,
las unidades de fuente de calor externa, necesitan un aporte térmico exterior.",img/techno/chp/ch3/ch3_comparaison_es.png,Comparación de las tecnologías micro/mini-cogeneración,
35,2,Trigénération,"La tri-génération est la production instantanée de chaleur, d'électricité et de froid. Elle peut être réalisée en valorisant une partie de la chaleur générée par une unité de cogénération et en utilisant un groupe frigorifique à absorption.","Les unités de tri-génération peuvent s'appliquer dans l'industrie où les besoins d'électricité, de froid et de chaleur sont importants et concomitants. Elles se retrouvent aussi dans les grands bâtiments tertiaires, les aéroports ou encore les musées.",,,,,"Les coûts d'investissement varient en fonction de la puissance de l'installation, mais sont en général de plusieurs millions d'euros. Néanmoins, de nombreux organismes peuvent accompagner de tels projets.
Dans la trigénération, l'investissement principal concerne l'unité de cogénération. Il est aussi possible d'utiliser des biocarburants au lieu du gaz pour alimenter l'unité de trigénération. Dans ce cas, les coûts d'investissement et d'entretien seront plus élevés.",#22,Répartition des coûts d'investissement pour une installation de trigénération au gaz avec chaudière,Le coût d'entretien correspond à quelques pourcent du coût total d'investissement.,,"Dans une installation de trigénération, la production de froid peut se faire de deux manières :

la chaleur récupérée par la cogénération est utilisée pour produire de la vapeur ou de l'eau chaude (chaudière classique). La vapeur (ou l'eau chaude) va ensuite alimenter une unité de réfrigération pour produire du froid.
la chaleur récupérée est directement orientée vers l'unité de réfrigération, ce qui n'implique pas l'utilisation d'une chaufferie.",,"Les unités de réfrigération trigénération ne consomment quasiment que de la chaleur. Il en existe deux types différents :

les machines à absorption, surtout utilisées dans l'industrie, pour des températures inférieures à 5 °C.
les machines à adsorption, pour les besoins en eau froide, avec des températures supérieures à 3 °C.",,,
35,3,Trigeneration,"The tri-generation is the instantaneous production of heat, electricity and cooling. It can be achieved by valuing a part of heat generated by a cogeneration unit and using an absorption refrigeration group.","The tri-generation units can be applied in industry, where the need for electricity, cold and heat are important and concomitant. They are also found in large commercial buildings, airports or museums.",,,,,"Investment costs vary depending on the capacity of the installation, but are generally several million euros. However, many organizations may accompany such projects.
In trigeneration, the main investment for the cogeneration unit. It is also possible to use biofuels instead of gas to power the unit trigeneration. In this case, investment and maintenance costs will be higher.",#22,Distribution of investment costs for installation of trigeneration gas boiler,The maintenance cost is a few percent of the total investment cost.,,"In an installation of trigeneration, cold production can be done in two ways:


heat recovered by CHP is used to produce steam or hot water (conventional boiler). Steam (or hot water) is then fed to a cooling unit for producing cold.

recovered heat is directly facing the refrigeration unit, which does not involve the use of a boiler.",,"Refrigeration units trigeneration hardly consume only heat. There are two different types:


the absorption machines, mainly used in the industry for temperatures lower than 5 ° C.

machines adsorption, for the purposes in cold water, with temperatures greater than 3 ° C. ",,,
35,4,Trigeneración,"La trigeneración es la producción instantánea de calor, electricidad y frío. Se puede realizar valorizando una parte del calor generado por una unidad de cogeneración y utilizando un grupo frigorífico de absorción.","Las unidades de trigeneración se pueden aplicar en la industria donde las necesidades de electricidad de frío y de calor son importantes y concomitantes. Se encuentran también en los grandes edificios terciarios, aeropuertos y museos.",,,,,"Los costes de inversión varían en función de la potencia de la instalación, pero son en general varios millones de euros. Sin embargo, los numerosos organismos pueden acompañar tales proyectos.
En la trigeneración, la inversión principal concierne la unidad de cogeneración. Es posible también utilizar carburantes en lugar de gas para alimentar la unidad de trigeneración. En este caso, los costes de inversión y de mantenimiento serán más elevados.",#22,Reparto de los costes de inversión para una instalación de trigeneración a gas con calera,El coste de mantenimiento corresponde a ciertos porcentajes del coste total de inversión.,,"En una instalación de trigeneración, la producción de frío se puede hacer de dos maneras:

el calor recuperado por la cogeneración es utilizado para producir vapor o aguacaliente (caldera clásica). El vapor (o agua caliente) alimenta entonces a una unidad de refrigeración para producir frío. 
el calor recuperado es directamente orientado hacia la unidad de refrigeración, lo que no implica la utilización de calderas. ",,"Las unidades de refrigeración trigeneración no consumen casi calor. Existen dos tipos diferentes:

máquinas de absorción, sobre todo utilizadas en la industria, para temperaturas inferiores a 5ºC.
máquimas de adsorción, para las necesidades de agua fría, con temperaturas superiores a 3ºC.",,,
36,2,Nouvelles énergies,"Les nouvelles énergies regroupent les sources d'énergies durables telles que les biocarburants, la biomasse solide, l'éolien, la géothermie, la gazéification, l'hydraulique, l'hydrogène, la méthanisation et l'énergie solaire (photovoltaïque et thermique).","Les nouvelles énergies peuvent être intégrées dans de nombreux secteurs tels que l'industrie, le tertiaire, le résidentiel, le transport, l'agriculture...",#23,Consommation primaire d'énergie renouvelable par secteur,,,,,,,,,,,,,
36,3,New energies,"New energy include the sustainable energy sources such as biofuels, solid biomass, wind, geothermal, gasification, hydro, hydrogen, methanation and solar (photovoltaic and thermal).","New energy can be integrated into many sectors such as industry, tertiary, residential, transportation, agriculture ...",#23,Primary consumption of renewable energy by sector,,,,,,,,,,,,,
36,4,Nuevas energías,"Las nuevas energías reagrupan las fuentes de energías sostenibles tales como los biocarburantes, biomasa sólida, eólica, geotérmica, gasificación, hidráulica, hidrógeno, metanización y energía solar (fotovoltaica y térmica)
 
 
 ","Las nuevas energías pueden estar integradas en los numerosos sectores tales como la industria, terciario, residencial, transporte, agricultura.
 ",#23,Consumo primario de energías renovables por sector,,,,,,,,,,,,,
37,2,Biocarburants,"Les biocarburants sont des carburants, sous forme liquide ou gazeuse, issus de matières végétales ou animales. Il existe plusieurs types de biocarburants :
Biocarburants de 1ère génération

le bioéthanol, obtenu à partir de la transformation de céréales et de matières sucrées (betterave, céréales, canne à sucre, maïs…),
le biodiesel, obtenu à partir de la transformation d'oléagineux (colza, soja, tournesol, huiles usagées...),
le biométhane, obtenu à partir de la méthanisation de déchets biodégradables agricoles, urbains, et industriels.
Biocarburants de 2ème génération

le diméthyl éther (DME), le FT-Diesel et le bioéthanol anhydre sont obtenus par transformation de biomasse ligno-cellulosique (résidus agricole, taillis à croissance rapide…).
Biocarburants de 3ème génération

les algocarburants, obtenu par transformation d'algues.",Les biocarburants sont actuellement utilisés dans les transports routiers. Leur utilisation dans les transports aériens est à l'étude. Ils peuvent aussi être utlisés comme combustibles pour la production d'électricité ou de chaleur.,,,,,"Le coût de la matière première représente 68 % du coût total de production du bioéthanol de 1ère génération. En effet, la culture, la récolte des céréales ainsi que leur transport jusqu'au site de transformation consomment une quantité importante d'énergie directe et indirecte.
Une fois que le bioéthanol est obtenu, de l'énergie est encore nécessaire pour le mélanger à l'essence puis transporter le tout jusqu'à la station-service.",#17,Répartition des coûts de production du bioéthanol,"Les coûts fixes d'exploitation comprennent la main d'œuvre ainsi que la maintenance. Les coûts variables d'exploitation dépendent du type de matière première (canne à sucre, colza, biomasse…), des procédés utilisés, des produits chimiques nécessaires et des dépenses relatives au traitement des effluents.",img/techno/enr/bca/bca_systeme_fr.png,,La filière des biocarburants,,img/techno/enr/bca/bca_comparaison_fr.png,Comparaison des technologies de biocarburants,
37,3,Biofuels,"Biofuels are fuels, liquid or gaseous form, derived from plant or animal matter. There are several types of biofuels:
1st generation biofuels


bioethanol obtained from the processing of cereals and sugary matter (beet, cereals, sugar cane, corn ...)

biodiesel obtained from the processing of oilseeds (rapeseed, soybean, sunflower, used oil ...)

biomethane, produced from the methanisation of biodegradable agricultural waste, urban, and industrial.
2nd generation biofuels


dimethyl ether (DME), the FT-diesel and anhydrous ethanol were obtained by transformation of lignocellulosic biomass (agricultural residues, coppice rapid growth ...).
3rd generation biofuels


the algocarburants, obtained by transformation of algae.",Biofuels are currently used in road transport. Their use in air transport is being studied. They can also be used as fuel to produce electricity or heat.,,,,,"The cost of raw materials accounts for 68% of total cost of production of first generation bioethanol. Indeed, the growing, harvesting grain and transportation to the processing site consume a large quantity of direct and indirect energy.
Once the ethanol is produced, energy is still needed to mix with gasoline and then move everything up to the service station.",#17,Costs of bioethanol production,"Fixed operating costs include labor and maintenance. Variable operating costs depend on the type of raw material (sugar cane, rapeseed, biomass ...), the processes used, chemicals and necessary expenses related to the treatment of effluents.",img/techno/enr/bca/bca_systeme_en.png,,Biofuel system,,img/techno/enr/bca/bca_comparaison_en.png,Comparison of biofuel technologies,
37,4,Biocarburantes," Los biocarburantes son biocarburantes, bajo forma líquida o gaseosa, nacida de materias vegetales o animales. Existen varios tipo de biocarbutantes:
Biocarburantes de 1ª generación

el bioetanol, obtenido a partir de la transformación y de las materias primas azucaradas (remolacha, cereales, caña de azúcar, maíz...). 
biodiesel, obtenido a partir de la transformación de las plantas oleaginosas (colza, soja, girasol, aceites usados..), 
biometano,obtenido a partir de la metanización de residuos biodegradables agrícolas, urbanos e industriales 
Biocarburantes de 2ª generación

el éter dimetílico , el FT- diesel y el bioetanol anhydro son obtenidos por la transformación de biomasa lignocelulosa (residuos agrícolas, arbustos de crecimiento rápido...). 
Biocarburantes de 3ª generación

los algocarburantes, obtenidos mediante la transformación de las algas. ",Los biocarburantes son actualmente utilizados en los transportes por carreteras. Su uso en los transportes aéreos está en estudio. Se pueden utilizar también como combustibles para la producción de electricidad o de calor.,,,,,"El coste de las materias primas representa un 68% del coste total de producción de bioetanol de 1ª generación. En efecto, el cultivo, la recolecta de cereales así como su transporte hasta el sitio de la transformación consumen una cantidad importante de energía directa e indirecta.
Una vez que el bioetanol es obtenido, la energía es todavía necesaria para la mezcla con gasolinas y luego el transporte de todo el conjunto a la estación de servicio.",#17, Repartición de los costes de producción del bioetanol,"Los costes fijos de explotación comprenden la mano de obra así como el mantenimiento. Los costes variables de explotación dependen del tipo de materias primas (caña de azúcar, colza, biomasa...), los procesos utilizados, los productos químicos necesarios y los gastos relativos al tratamiento de los efluentes.",img/techno/enr/bca/bca_systeme_es.png,,Sector de los biocarburantes,,img/techno/enr/bca/bca_comparaison_es.png,Comparación de tecnologías de los biocarburantes,
