numsolution,codelangue,jauge_cout,jauge_gain,titre,definition,3,4,application,6,7,8,9,10,11,12
139,3,,,Improved power factor,"Par compensation locale (condensateur, variateur de vitesse, filtrage des harmoniques). ",,,"Il existe d'autres solutions de correction du facteur de puissance électrique pour améliorer l'efficacité énergétique : installer des condensateurs sur les circuits de courant alternatif pour réduire l'ampleur de la puissance réactive, réduire au minimum ",,,,,,,
139,4,,,Mejorar el factor de potencia,"Par compensation locale (condensateur, variateur de vitesse, filtrage des harmoniques). ",,,"Il existe d'autres solutions de correction du facteur de puissance électrique pour améliorer l'efficacité énergétique : installer des condensateurs sur les circuits de courant alternatif pour réduire l'ampleur de la puissance réactive, réduire au minimum ",,,,,,,
140,2,,,Décalage des appels de puissance,Décalage des appels de puissance,,,,,,,,,,
140,3,,,Offset power demand,Décalage des appels de puissance,,,,,,,,,,
140,4,,,Desfase de las llamadas de potencia,Décalage des appels de puissance,,,,,,,,,,
141,2,,,Effacement des creux de tension,"Installer une alimentation sans interruption (ASI), un compensateur automatique en temps réel, un régulateur électronique dynamique de la tension …",,,"Dans l'étude de faisabilité et le calcul des économies d'énergie, prendre en compte la consommation de l'ASI.",,,,,,,
141,3,,,Erase voltage dips,"Installer une alimentation sans interruption (ASI), un compensateur automatique en temps réel, un régulateur électronique dynamique de la tension …",,,"Dans l'étude de faisabilité et le calcul des économies d'énergie, prendre en compte la consommation de l'ASI.",,,,,,,
141,4,,,Eliminar las caídas de presión,"Installer une alimentation sans interruption (ASI), un compensateur automatique en temps réel, un régulateur électronique dynamique de la tension …",,,"Dans l'étude de faisabilité et le calcul des économies d'énergie, prendre en compte la consommation de l'ASI.",,,,,,,
142,2,,,Stockage permettant de décaler la consommation,Stockage permettant de décaler la consommation,,,,,,,,,,
142,3,,,Storage for shifting consumption,Stockage permettant de décaler la consommation,,,,,,,,,,
142,4,,,Almacenamiento que permite que caiga el consumo,Stockage permettant de décaler la consommation,,,,,,,,,,
143,2,2.0,2.0,Surpresseur et réseau d'air multi pressions pour répondre aux besoins localisés,Produire tout l'air comprimé à une pression supérieure pour une petite partie du réseau est une aberration énergétique car elle entraine une surconsommation à débit constant. La solution dans ce cas est de placer un petit surpresseur pour la petite partie en question et descendre la pression au plus bas pour le reste du réseau.,,,"La solution est applicable aux sites fonctionnant à des pressions d'air élevées à cause des exigences de quelques procédés.
L'aménagement du nouveau circuit d'air comprimé doit être comme si les tronçons de réseau à différentes pression étaient séparés.","Parfois, une machine nécessite de fonctionner à 12 bar au lieu de 6-7 bar comme la majorité. Produire tout l'air comprimé à 10-12 bar pour cette machine est une aberration énergétique. En effet :

produire l'air comprimé à 10 bar au lieu de 6 entraine une surconsommation de 20% à débit constant. 
produire l'air comprimé à 12 bar au lieu de 6 entraine une surconsommation de 30% à débit constant. 
 ",,,,"
Modification du réseau d'air",de la consommation annuelle des compresseurs,"
Diminution nette des fuites entraînée par la baisse de pression du tronçon de réseau concerné."
143,3,2.0,2.0,Blower and air network multi pressures to meet the needs localized,Produce all compressed air at a higher pressure for a small part of the network is an aberration because it causes energy consumption to a constant flow. The solution in this case is to place a small booster for the small part in question and get the lowest pressure for the rest of the network.,,,"The solution is applicable to sites operating at high air pressures because of the demands of some processes.
The development of the new compressed air system must be as if the network segments at different pressure were separated.
","Sometimes a machine needs to operate at 12 bar instead of 6-7 bar as the majority. Produce all compressed air at 10-12 bar for this machine is an energy aberration. In fact:


producing compressed air at 10 bar instead of 6 results in a consumption of 20% at a constant rate.

produce compressed air at 12 bar instead of 6 leads to a consumption of 30% at a constant rate.",,,,"
Changing the air network",the annual consumption of compressors,"
Net decrease in leakage caused by the pressure drop of the network segment concerned."
143,4,2.0,2.0,Sobrepresor y red de aire multi presión para responder a las necesidades localizadas,Producir todo el aire comprimido a una presión superior para una pequeña parte de la red es una aberración energética ya que conlleva a un sobreconsumo de caudal constante. La solución en este caso es colocar un pequeño aumentador de presión para la pequeña parte en cuestión y descender así la presión lo más bajo posible para el resto de la red.,,,"La solución es aplicable a los sitios que funcionan a presiones de aire elevadas a causa de las exigencias de algunos procesos.
El desarrollo de un nuevo circuito de aire comprimido deber ser como si los segmentos de la red a diferentes presiones estuvieran separados.","A veces, una máquina necesita funcionar a 12 bar en lugar de 6 o 7 como la mayoría. Producir todo el aire comprimido a 10-12 bar para este máquina es una aberración energética. De hecho:

producir el aire comprimido a 10 bares en lugar de 6 conlleva un sobrecoste del 20% a caudal constante.
producir el aire comprimido a 102bares en lugar de 6 conlleva un sobrecoste del 30% a caudal constante.",,,,"
Modificación de la red de aire ",del consumo anual de los compresores,"
  Disminución neta de las fugas alcanzadas por la bajada de presión del segmento de la red tratado.
"
144,2,2.0,2.0,Vannes d’isolement pour couper l’arrivée d’air comprimé des ateliers non utilisés,"L’isolation des lignes de conditionnement en période de non utilisation, le week end par exemple, permettrait de limiter les fuites d’air. Ces lignes consomment de l’air comprimé qui peut être coupé en période de non utilisation.
 
Dans ce cadre, les zones à faible fréquence d'activité (ou zone à activité décalée) qui ont une consommation significative et installer des vannes d'isolement des circuits dans les cas appropriés doivent être identifiées. Les vannes pourront être manuelles ou automatiques. Dans le dernier cas, la commande peut être pilotée par horloge programmable ou de manière centralisée.",,,"La mise en place de vannes d’isolement s’applique aux zones où la production est régulièrement arrêtée, mais elle est aussi primordiale pour isoler les parties de réseaux qui ne sont plus utilisées aujourd’hui à cause d’un déplacement de l’outil de production.
Le zonage réduit les fuites ou les mauvais usages possibles.","La fermeture de ces tronçons non utilisés diminuera le volume du réseau d’air sous pression, ce qui réduira la perte de charge du réseau que les compresseurs doivent compenser. De ce fait, moins d'électricité sera consommée par les compresseurs. De plus, l’installation de vannes d'isolement sur les lignes permettrait de stopper les fuites en aval de la vanne et d'économiser directement sur la production d'air comprimé .",,,coût unitaire approximatif de l'horloge permettant la fermeture automatique d'une vanne.,,,"
Diminution du taux de fuite.
Diminution de la perte de charge du réseau."
144,3,2.0,2.0,Isolation valves to shut off the compressed air workshops unused,"The insulation packaging lines during non-use, the weekend for example, would limit air leakage. These lines use compressed air which can be cut into non-usage time.
In this context, areas of low frequency activity (zone-shifted activity) that have a significant consumption and install isolation valves circuits in appropriate cases must be identified. The valves can be manual or automatic. In the latter case, the control can be controlled by timer or centrally.",,,"The introduction of isolation valves applies to areas where production is regularly stopped, but it is also essential to isolate the parts of networks that are no longer used today because of movement of the tool production.
Zoning reduces leakage or bad possible uses.","Closing these unused sections will decrease the amount of air pressure system, which will reduce the loss of network compressors must compensate. Therefore less power will be consumed by the compressor. In addition, the installation of isolation valves on the lines would stop leaks downstream of the valve and save directly to the production of compressed air.",,,approximate unit cost of the clock for automatic closing of a valve.,,,"
Decrease in the rate of leakage.
Decrease in the loss of network load."
144,4,2.0,2.0,Válvulas de aislamiento para cortar la llegada de aire comprimido de los talleres que no se usan,"El aislamiento de las líneas de acondicionamiento en el período de no utilización,el fin de semana por ejemplo, permitiría limitar las fugas de aire. Estas líneas consumen aire comprimido que puede ser cortado en el período de no utilización.
En este marco, las zonas con débil afrecuencia de actividad (o zona a actividad desfasada) que tienen un consumo significativo e instalan compuertas de aislamiento de los circuitos en los casos apropiados deben ser identificadas. Las compuertas podrán ser manuales o automáticas. En el último caso, el encargo puede ser pilotado por reloj programable o de manera centralizada.",,,"La colocación de compuertas de aislamiento se aplica a las zonas donde la producción regularmente está parada, pero es también primordial para aislar las partes de redes que no son utilizadas más hoy a causa de un desplazamiento de la herramienta de producción.
 La zonificación reduce las fugas o los malos usos posibles.","El cierre de estas secciones no utilizados disminuirá el volumen de la red de aire bajo presión, lo que reducirá la pérdida de carga de la red que los compresores deben compensar. De este hecho, menos electricidad será consumida por los compresores. Además, la instalación de compuertas de aislamiento sobre las líneas permitiría parar las fugas bajo la compuerta y ahorrar directamente la producción de aire comprimido.",,,Coste unitario aproximado del reloj que permite el cierre automático de una compuerta.,,,"
Disminución de la tasa de fuga.
Disminución de la pérdida de carga de red"
145,2,2.0,1.0,Production d'air décentralisée,"Un compresseur d'air placé près de la consommation permet d'éviter l'utilisation d'un réseau d'air entrainant des pertes de charge coûteuses. Pour vérifier la pertinence de cette solution, relevez le fonctionnement des appareils et évaluez les possibilités d'ajouter un compresseur près des zones de consommation.",,,"La solution s'applique aux sites industriels ayant un réseau d'air comprimé étendu. par exemple les sites avec plusieurs bâtiments. 
Il n'est peut être pas pertinent de tirer le réseau d'air sur une grande longeur si le bâtiment est  peu consomamteur. Dans ce cas, un petit compresseur décentralisé peut être pertinent.
La solution est applicable aussi dans le cas où le compresseur alimente une zone indépendante (a pression différente par exemple)",,,,,"
Changement des habitudes de maintenance si plusieurs centrales d'air sont utilisées.
",,"
La diminution la longueur du réseau d'air entraîne une diminution des fuites d'air.
"
145,3,2.0,1.0,Decentralized production of air,Relever le fonctionnement des appareils et évaluer les possibilités d'ajouter un compresseur près des zones de consommation.,,,Permet de diminuer les pertes de charges. Applicable aussi dans le cas où le compresseur alimente une zone indépendante (a pression différente par exemple),,,,,,,
145,4,2.0,1.0,Evaluación de la posibilidad de una producción de aire descentralizado,Relever le fonctionnement des appareils et évaluer les possibilités d'ajouter un compresseur près des zones de consommation.,,,Permet de diminuer les pertes de charges. Applicable aussi dans le cas où le compresseur alimente une zone indépendante (a pression différente par exemple),,,,,,,
146,2,,,Démarrage des compresseurs en fonction du besoin,"Mise en cascade des compresseurs, variation de vitesse sur un compresseur.",,,Les compresseurs consomment à vide (suivant la technologie du compresseur) 25 à 75% de la puissance consommée en charge. Il faut éviter de les laisser fonctionner à vide.,,,,,,,
146,3,,,Compressor start-up based on need,"Mise en cascade des compresseurs, variation de vitesse sur un compresseur.",,,Les compresseurs consomment à vide (suivant la technologie du compresseur) 25 à 75% de la puissance consommée en charge. Il faut éviter de les laisser fonctionner à vide.,,,,,,,
146,4,,,Arranque de motores en función de la necesidad,"Mise en cascade des compresseurs, variation de vitesse sur un compresseur.",,,Les compresseurs consomment à vide (suivant la technologie du compresseur) 25 à 75% de la puissance consommée en charge. Il faut éviter de les laisser fonctionner à vide.,,,,,,,
147,2,,,"Amélioration du refroidissement, du séchage et de la filtration",Cette action ne comporte pas une augmentation de la fréquence de remplacement des filtres.,,,,,,,,,de la consommation d'énergie annuelle,
147,3,,,"Improved cooling, filtration and drying",Cette action ne comporte pas une augmentation de la fréquence de remplacement des filtres.,,,,,,,,,de la consommation d'énergie annuelle,
147,4,,,"Mejora del enfriamiento, del secado y de la filtración",Cette action ne comporte pas une augmentation de la fréquence de remplacement des filtres.,,,,,,,,,de la consommation d'énergie annuelle,
148,2,2.0,1.0,Optimisation de la régulation,"La consommation du compresseur en marche à vide reste importante. Il est donc important de chercher à limiter le fonctionnement du compresseur en marche à vide.
Celle-ci peut être diminuée par la mise en place d’un automate de régulation qui va optimiser le pilotage des compresseurs.
Sans régulation, les compresseurs vont s’enclencher à partir de pressostats internes aux compresseurs. Or, la précision de ces capteurs varie pour chaque compresseur. 
Un avantage d’une régulation centralisée est la capacité de piloter plusieurs compresseurs à partir d’un capteur. L’automate, qui peut contrôler jusqu’à huit compresseurs, gère le démarrage et l’arrêt des différents compresseurs pour qu’ils fonctionnent à leur charge nominale, quand leur rendement est le meilleur. ",,,"Il existe de nombreux systèmes de régulation; tous ne sont pas équivalent d'un point de vue énergétique : 

La régulation par étranglement est la plus consommatrice d'énergie. 
La régulation par marche arrêt est efficace mais ne peut être appliquée que sur les petits compresseurs de capacité inférieure à 35 m3/h. Le moteur du compresseur s'arrête dès que la demande d'air diminue.
La régulation tout ou rien est la plus utilisée. Le moteur tourne à vide lorsque le besoin d'air n'est pas suffisant.
La régulation  par variation électronique de vitesse est performante car elle permet d'adapter la consommation réelle d'électricité à la demande en air comprimé.
Lorsqu'il y a plusieurs compresseurs, un pilotage en cascade des compresseurs couplé à une régulation par variation électronique de vitesse sur le compresseur prioritaire est une solution performante. L’automate de gestion gère alors cette variation avec la cascade des compresseurs.","En marche à vide, la puissance appelée est en moyenne 30 % et peut atteindre 75 % de la consommation des compresseurs à pleine charge avec certains types de compresseurs. 
D'un point de vue énergétique, la régulation tout ou rien est plus performante que la régulation par étranglement et moins performante que la régulation par variation électronique de vitesse.",,,,,,"
Diminution des marches à vide des compresseurs
Fonctionnement des compresseurs à leur capacité nominale
 "
148,3,2.0,1.0,Control optimization,"The consumption of the compressor at idle remains high. It is therefore important to try to limit the compressor idling.
It can be reduced by the introduction of an automatic control which will optimize the control of the compressors.
Without regulation, the compressor will be switched from internal switches compressors. However, the accuracy of these sensors varies for each compressor.
One advantage of a centralized control is the ability to control multiple compressors from a sensor. The controller, which can control up to eight compressors, manages the starting and stopping of the various compressors that operate at their rated load, when their performance is the best.",,,"There are many control systems, all are not equivalent from an energy point of view:


The throttling is the most energy intensive.

The on-off regulation is effective, but can only be applied on small compressors capacity less than 35 m3 / h. The compressor motor stops when air demand decreases.

Regulating all or nothing is the most used. The engine idles when the need for air is not enough.

Regulation by electronic speed variation is effective because it allows to adjust the actual electricity consumption in compressed air demand.

When there is more than one compressor, a pilot cascade compressor coupled to regulation by electronic speed variation on the priority compressor is a powerful solution. The controller then manages this management change with the cascade of compressors.","Idling, the power demand is on average 30% and can reach 75% of the consumption of the compressors at full load with certain types of compressors.
From an energy point of view, control all or nothing is more powerful than the throttling and less efficient than control by electronic speed variation.
",,,,,,"
Reduced load running compressors
Compressor operating at nominal capacity
 "
148,4,2.0,1.0,Optimización de la regulación,"El consumo del compresor en marcha vacía es importante. Es importante por tanto procurar limitar el funcionamiento del compresor en marcha vacía.
 Ésta puede ser disminuida por la colocación de un autómata de regulación que va a optimizar el pilotaje de los compresores
Sin regulación, los compresores van a engancharse a partir de presostatos internos a los compresores. La precisión de estos captadores varía para cada compresor. 
Una ventaja de una regulación centralizada es la capacidad de pilotar varios compresores a partir de un captador. El autómata, que puede controlar hasta ocho compresores, administra el comienzo y la parada de los diferentes compresores para que funcionen a su carga nominal, cuando su rendimiento es el mejor.",,,"Existen numerosos sistemas de regulación;  no todos son equivalente de un punto de vista energético:

La regulación por estrangulación es más consumidora de energía. 
La regulación por marcha parada es eficaz pero puede ser aplicada sólo sobre los pequeños compresores de capacidad inferior a 35 m3 / por hora. El motor del compresor se para tan pronto como la demanda de aire disminuye. 
La regulación todo o nada es la más utilizada. El motor funciona en balde cuando la necesidad de aire no es suficiente. 
La regulación por variación electrónica de velocidad es perfecta porque permite adaptar el consumo efectivo de electricidad a la demanda en aire comprimido.Cuando hay varios compresores, un pilotaje en cascada de los compresores acoplado a una regulación por variación electrónica de velocidad sobre el compresor prioritario es una solución perfecta. El autómata de gestión administra entonces esta variación con la cascada de los compresores.","En marcha vacía, la potencia destinada es por término medio el 30 % y puede alcanzar el 75 % del consumo de los compresores a carga plena con ciertos tipos de compresores. 
De un punto de vista energético, la regulación todo o nada es más perfecta que la regulación por estrangulación y menos perfecta que la regulación por variación electrónica de velocidad.",,,,,,"
Disminución de marchas a vacío de compresores.
Funcionamiento de compresores a su capacidad nominal"
149,2,,,Système de régulation élaboré,"Si régulation par pressostats mécaniques (réajustement régulier des pressions par l'utilisateur); régulation dite ""contrôle intelligent"" avec compresseur à variateur de vitesse / régulation dite ""contrôle intelligent optimisé"" qui réduit la plage de press",,,Le but est d'optimiser le niveau de pression,,,,,,de la consommation annuelle des compresseurs,
149,3,,,Enhanced regulating system,"Si régulation par pressostats mécaniques (réajustement régulier des pressions par l'utilisateur); régulation dite ""contrôle intelligent"" avec compresseur à variateur de vitesse / régulation dite ""contrôle intelligent optimisé"" qui réduit la plage de press",,,Le but est d'optimiser le niveau de pression,,,,,,de la consommation annuelle des compresseurs,
149,4,,,Uso de un sistema de regulación elaborado,"Si régulation par pressostats mécaniques (réajustement régulier des pressions par l'utilisateur); régulation dite ""contrôle intelligent"" avec compresseur à variateur de vitesse / régulation dite ""contrôle intelligent optimisé"" qui réduit la plage de press",,,Le but est d'optimiser le niveau de pression,,,,,,de la consommation annuelle des compresseurs,
150,2,2.0,1.0,Stockage de l'air comprimé à proximité des utilisations à forte fluctuation,"Les cuves de stockage permettent de lisser la production diminuant ainsi la marche à vide des compresseurs. 
Aussi, elles permettent de fournir de l’air à un débit supérieur à la capacité des centrales lors des pics de consommation élevés et occasionnels. Ainsi, la taille des compresseurs peut être diminuée lors de leur dimensionnement pour répondre au besoin de base rencontré la plupart du temps. Les compresseurs fonctionnenent alors à leur rendement optimal.",,,"Le volume du réservoir doit être environ égal au volume d’air comprimé en une minute par les compresseurs de la centrale.
Des réservoirs tampons peuvent aussi être installés près des entités ayant une consommation d’air particulièrement variable.",,,,,"
Nécessite un  espace libre au sol près des procédés industriels",,"
Augmentation de la durée de vie des compresseurs par la réduction des cycles marche/arrêt. Diminution du fonctionnement des compresseur en marche à vide
Lissage de la production d'air comprimé. "
150,3,2.0,1.0,Store compressed air in the vicinity uses high fluctuation,"Storage tanks are used to smooth production and reducing idling compressors.
Also, they can provide air at a higher plant capacity during peak high and occasional consumption rate. Thus, the size of the compressor can be reduced during their design to meet the basic need met most of the time. Compressors then fonctionnenent their optimum performance.
",,,"The tank volume should be approximately equal to the volume of compressed air in one minute by the compressors of the plant.
Buffer tanks can also be installed near entities with a particular variable air consumption.",,,,,"
Requires a free space on the ground near industrial processes",,"
Increased life by reducing compressor on / off cycles. Decreased operating compressor idling
Smoothing the compressed air production."
150,4,2.0,1.0,Almacenamiento de aire comprimido próximo a sitios con una fuerte fluctuación,"Los tanques de almacenamiento permiten suavizar la producción disminuyendo así el arranque a vacío de compresores.
Así, permiten suministrar el aire a un caudal superior a la capacidad de las centrales después de los picos de consumo elevados y ocasionales. Así, el tamaño de los compresores puede ser disminuido después de su dimensionamiento para responder a las necesidades de base queocurren las mayor parte del tiempo. Los compresores funcionan entonces a un rendimiento óptimo. ",,,"
Aumento de la vida útil de los compresores por la reducción de los ciclos arranque/parada. Disminución del funcionamiento de compresores arrancando a vacío.
Suaviza la producción de aire comprimido ",,,,,"
Necesita un espacio libre en el suelo cerca de los procesos industriales ",,"
Aumento de la vida úlil de los compresores por la reducción de los ciclos arranque/parada. Disminución del funcionamiento de compresores arrancando a vacío.
Suaviza la producción de aire comprimido "
151,2,2.0,1.0,Augmentation de la taille des cuves de stockage,"L'augmentation de la capacité des cuves de stockage permettra 

de réduire les cycles marche arrêts au niveau des centrales d'air, 
de répondre aux demandes de pointe lorsque le débit demandé est suppérieur à la capacité des compresseurs. Cela pourra par exemple éviter la mise en route d'un compresseur supplémentaire.",,,"La solution est applicable à tous les sites utilisateurs d'air comprimé. Le système de stockage peut être placé au niveau des centrales pour les préserver et au niveau des équipements fortement consommateurs d'air.
Pour être correctement dimmensionné, le volume du réservoir doit être environ égal au volume d'air comprimé en une minute par les compresseurs de la centrale. ","Lorsque le réservoir tampon est trop petit, les cycle en charge/à vide du compresseur se multiplient ce qui est préjudiciable pour le compresseur",,,,"
Modification du réseau existant
Espace libre nécessaire",,"Augmentation de la durée de vie des compresseurs par la réduction des cycles marche/arrêt. Diminution du fonctionnement des compresseur en marche à vide
Lissage de la production d'air comprimé. "
151,3,2.0,1.0,Increase the size of the storage tanks,"Increasing the capacity of storage tanks will


reduce work cycles stops at the air stations,

meet peak demand when the requested rate is supperior to the compressor capacity. This can for example prevent the initiation of an additional compressor.",,,"The solution is applicable to all users of compressed air sites. The storage system can be placed at the center to preserve and at the very air consumer equipment.
To be properly dimmensionné, tank volume should be approximately equal to the volume of compressed air in one minute by the compressors of the plant.
","When the buffer tank is too small, the cycle load / unload compressor multiply which is detrimental to the compressor",,,,"
Modification of the existing network
Free space required",,"Increased life by reducing compressor on / off cycles. Decreased operating compressor idling
Smoothing the compressed air production."
151,4,2.0,1.0,Aumento del tamaño de  los tanques de almacenamiento,"El aumento de la capacidad de los tanques de almacenamiento permite:

reducir los ciclos de arranque parada a niveles de las centrales de aire, 
responder a las demandas de picos cuando el caudal es superior a la capacidad de los compresores. 
Esto podrá por ejemplo, evitar la puesta en marcha de un compresor suplementario.",,,"La solución es aplicable a todos los sitios que utilizan aire comprimido. El sistema de almacenamiento puede ser emplazado a nivel de las centrales para proveerlas y al nivel de los equipos que son fuertes consumidores de aire.
Para estar correctamente dimensionado, el volumen del tanque debe ser aproximadamente igual al volumen de aire comprimido en un minuto por los compresores de la central.","Cuando el tanque tampón es demasiado pequeño, los ciclos en carga/vacio del compresor se multiplican lo que es perjudicial para el compresor.",,,,"
Modificación de la red existente
Espacio libre necesario ",,"
Aumento de la vida útil de los compresores por la reducción de los ciclos de arranque/parada. Disminuye el funcionamiento de los compresores en el arranque a vacio.
Suavida la producción de aire comprimido. "
152,2,1.0,2.0,Arrêt des compresseurs quand il n'y a pas de demande d'air," 
Lorsque la production est arrêtée, les compresseurs d'air sont souvent laissés en fonctionnement dans l'industrie. Dès lors, les compresseurs ne fonctionnent que pour compenser les fuites du réseau d'air. Celles-ci peuvent représenter jusqu'à 50% de la consommation des compresseurs.
 
 
Plusieurs vérifications permettent de supprimer cette consommation inutile :

Vérifier que les compresseurs sont éteints à chaque période d'inactivité (nuit, WE, jour férié, …).
Vérifier que les compresseurs ne sont pas mis en marche plus tôt que  nécessaire.
Vérifier le réglage des coupures des compresseurs (horloges, GTC, …) pour suivre les périodes d'inactivité. Des horloges programmables peuvent être installées pour assurer un fonctionnement optimum des compresseurs d'air.
 


 
 ",,,"La solution est applicable sur tous les sites industriels utilisant de l'air comprimé.
Il est pertinent de couper les compresseurs d'air lors des périodes prolongées d'arrêt de production. Par exemple, les week-ends, jours fériés ou lors de la fermeture du site pour congés.
 
Pour éviter des déconvenues liées à un manque de pression dans le réseau au redémarrage de la production le matin, les compresseurs doivent être remis en fonctionnement quelques heures avant.",,,,,"
Programmation du redémarrage des compresseurs avant la production.
",,"
Diminution de la consommation électrique talon du site
"
152,3,1.0,2.0,Compressors stop when there is no demand for air,"
Vérifier que les compresseurs sont éteints à chaque période d'inactivité (nuit, WE, jour férié, …).
Vérifier que les compresseurs ne sont pas mis en marche plus tôt que  nécessaire.
Vérifier le réglage des coupures des compresseurs (horloges, GTC, …) pour suivre les périodes d'inactivité.",,,Installation d'une horloge programmable.,,,,,"
Programmation du redémarrage des compresseurs avant la production.
",,"
Diminution de la consommation électrique talon du site
"
152,4,1.0,2.0,Parada de compresores cuando no hay demanda de oxígeno,"
Vérifier que les compresseurs sont éteints à chaque période d'inactivité (nuit, WE, jour férié, …).
Vérifier que les compresseurs ne sont pas mis en marche plus tôt que  nécessaire.
Vérifier le réglage des coupures des compresseurs (horloges, GTC, …) pour suivre les périodes d'inactivité.",,,Installation d'une horloge programmable.,,,,,"
Programmation du redémarrage des compresseurs avant la production.
",,"
Diminution de la consommation électrique talon du site
"
153,2,1.0,2.0,Petit compresseur pour la nuit et les week end,"A faible charge, lorsque les consommations d’air par les vannes pneumatiques et unités de production sont grandement diminuées, le compresseur travaille à charge partielle. Lorsque la régulation est en tout ou rien, les temps où le compresseur est en marche à vide sont alors augmentés. Or, en marche à vide, aucun débit d’air n’est injecté sur le réseau mais la consommation du compresseur est d’environ 30 %. L’ensemble des compresseurs des centrales d’air sont parfois maintenus en pression lorsque l’atelier est à l’arrêt parce qu’une petite partie des entités consommatrices reste en fonctionnement.Si les pressions requises pour ces entités sont différentes, la pression de production des centrales peut être diminuée, économisant l’énergie et diminuant le débit de fuites d’air.Si le besoin de pression est vraiment différent le week end, l’achat d’un compresseur de taille plus petite, utilisé seulement pour les besoins du week-end permettrait de couper les compresseurs existants et d’économiser l’énergie. Par ailleurs, si les applications en fonctionnement sont connues et récurrentes, le compresseurs dédié peut être installé directement sur l’application, évitant ainsi de mettre tout le réseau sous pression et d’alimenter les fuites d’air. Cette dernière suggestion n’est possible que si l’application concernée n’a pas besoin d’une qualité de l’air importante nécessitant des unités de traitement supplémentaires.",,,"La solution est applicable aux sites industriels ayant des régimes de production réduit le week end.  Le nouveau petit compresseur peut être installé soit dans la centrale, soit sur l'unité consommatrice d'air si elle est la seule à être utilisée.","Avec un petit compresseur, l'économie provient de la suppression des marches à vide en comparaison avec un compresseur de puissance supérieure. Durant les temps de faible charge, les compresseurs fonctionnent souvent en marche à vide. Or dans ces conditions, le compresseur consomme environ 30 % de sa puissance nominale.",,,,"
 Une adaptation du réseau d'air peut être à effectuer.
Une régulation automatique doit être installée pour gérer le passage entre l'utilisation du petit compresseur et l'utilisation des compresseurs classiques.

 ",de la consommation annuelle des compresseurs,"
Diminution du taux de fuite lorsque les charges sont faibles.
"
153,3,1.0,2.0,Installing a small compressor for the night and weekend,"At low load, when the air consumption by pneumatic valves and production units are greatly diminished, the compressor work at part load. When the setting is all or nothing, the time when the compressor is idling are then increased. Off at idle, no air flow is injected into the network, but the consumption of the compressor is about 30%.All central air compressors are sometimes kept in pressure when the workshop is stopped because a small portion of consumers entities remains in operation.If the pressure required for these entities are different, the pressure production plants can be reduced, saving energy and reducing the rate of air leakage.If the need for pressure is really different on weekends, buying a smaller compressor, used only for the purposes of the week would cut into the existing compressors and save energy. Moreover, if the running applications are known and recurrent dedicated compressors can be installed directly on the application, thus avoiding putting any pressure system and feed the air leaks. This last suggestion is only possible if the application in question does not have a significant air quality require additional processing units.",,,The solution is applicable to industrial site that production regimes reduced the weekend. The new small compressor can be installed either in the middle or on the consumer unit air if it is only to be used.,"With a small compressor, the economy comes from the elimination of steps to empty compared to a compressor higher power. During times of low load, compressors often operate at idle, however under these conditions, the compressor consumes about 30% of its nominal power.",,,," 
 ",the annual consumption of compressors,"
Decrease in leakage when loads are low."
153,4,1.0,2.0,Instalación de un pequeño compresor para la noche y el fin de semana,"A carga débil, cuando los consumos de aire por las compuertas neumáticas y las unidades de producción son ampliamente disminuidos el compresor trabajo a carga parcial. Cuando la regulación es en todo o nada, los tiempos donde el compresor está en marcha vacía son entonces aumentados. Excepto en marcha vacía, ningún caudal de aire es inyectado sobre la red pero el consumo del compresor es de cercano al 30 %. El conjunto de los compresores de las centrales de aire es a veces mantenido en presión cuando el taller está en parada porque una pequeña parte de las entidades consumidoras se quedan en funcionamiento.
Si las presiones requeridas para estas entidades son diferentes, la presión de producción de las centrales puede ser disminuida, ahorrando la energía y disminuyendo el caudal de fugas de aire.
Si la necesidad de presión es verdaderamente diferente el fin de semana, la compra de un compresor de talla más pequeña, utilizado solamente para las necesidades del fin de semana no permitiría cortar los compresores existentes y ahorrar la energía. Por otro lado, si las aplicaciones en funcionamiento son conocidas y recurrentes, compresores dedicados puede directamente estar instalados sobre la aplicación, evitando así poner toda la red bajo presión y alimentar las fugas de aire. Esta última sugerencia es posible sólo si la aplicación concernida no necesita una calidad importante del aire que necesita unidades suplementarias de tratamiento. ",,,"La solución es aplicable a sitios industriales que tienen regímenes de producción reducido el fin de semana. El nuevo pequeño compresor puede estar instalado o bien en la central, o bien sobre la unidad consumidora de aire si es la única a ser utilizada.","Con pequeño compresores, la economía proviene de la supresión de las marchas vacías en comparación con un compresor de potencia superior. Durante tiempos de carga débil, los compresores a menudo funcionan en marcha vacía; entonces en estas condiciones, el compresor consume cerca del 30 % de su potencia nominal. ",,,," 
 ",del consumo anual de compresores,"
Disminución de la tasa de fugas cuando las cargas son débiles."
